user_id,username,description,education,openness,conscientiousness,extraversion,agreeableness,neuroticism,policy_opinion,party_affiliation,ideology_score,issue_interest
0,user_000,Interested in social policy,university,high,medium,medium,high,low,I support stronger social welfare spending,party_a,-0.8,high
1,user_001,Follows economic debates,college,medium,high,low,medium,medium,I oppose broad welfare expansion without budget reform,party_b,0.7,high
2,user_002,Community volunteer,high_school,high,medium,high,high,low,I support local government support programs,independent,-0.4,medium
3,user_003,Small business owner,university,medium,high,medium,low,medium,I oppose tax increases tied to social programs,party_b,0.8,high
4,user_004,Policy enthusiast,graduate,high,high,medium,medium,low,I support phased public healthcare expansion,party_a,-0.6,high
5,user_005,Works in finance,university,medium,high,low,medium,medium,I oppose aggressive fiscal stimulus plans,party_b,0.6,medium
6,user_006,Reads parliament summaries,college,high,medium,medium,high,low,I support better childcare subsidies,independent,-0.3,high
7,user_007,Interested in labor policy,graduate,medium,high,high,medium,medium,I oppose mandatory labor market controls,party_b,0.5,high
8,user_008,Public sector worker,university,high,medium,medium,high,low,I support stronger public housing policy,party_a,-0.7,high
9,user_009,Freelancer,high_school,medium,medium,high,medium,medium,I oppose large central government intervention,independent,0.3,medium
10,user_010,Student observer,college,high,low,high,high,medium,I support affordable education policy,party_a,-0.5,high
11,user_011,Retired engineer,university,medium,high,low,medium,low,I oppose expanding debt-financed benefits,party_b,0.7,medium
12,user_012,Neighborhood organizer,high_school,high,medium,high,high,low,I support stronger local welfare offices,independent,-0.4,medium
13,user_013,Office worker,college,medium,high,medium,medium,medium,I oppose rapid pension benefit increases,party_b,0.4,high
14,user_014,Healthcare staff,graduate,high,high,medium,high,low,I support preventive care investment,party_a,-0.6,high
15,user_015,IT contractor,university,medium,medium,medium,low,medium,I oppose uniform national policy mandates,independent,0.2,medium
16,user_016,Teacher,graduate,high,high,medium,high,low,I support stronger school meal programs,party_a,-0.5,high
17,user_017,Sales manager,college,medium,high,high,medium,medium,I oppose higher payroll taxes,party_b,0.6,high
18,user_018,Urban planner,graduate,high,high,low,high,low,I support long-term social infrastructure,party_a,-0.7,high
19,user_019,Factory worker,high_school,medium,medium,medium,medium,high,I oppose regulatory overreach in labor policy,independent,0.2,medium
20,user_020,Civic forum participant,college,high,medium,high,high,low,I support community clinic expansion,party_a,-0.4,high
21,user_021,Accountant,university,low,high,low,medium,medium,I oppose broad spending growth without cuts,party_b,0.8,high
22,user_022,Library volunteer,high_school,high,medium,medium,high,low,I support inclusive public service design,independent,-0.3,medium
23,user_023,Startup founder,graduate,high,high,high,low,medium,I oppose excessive compliance burdens,party_b,0.5,high
24,user_024,Social worker,college,high,medium,high,high,low,I support targeted income assistance,party_a,-0.6,high
